url,filename,number,spriteNaming1,spriteNaming2,spriteNaming3,spriteNaming4,spriteNaming5,spriteNaming6,spriteNaming7,spriteNaming8,spriteNaming9,spriteNaming10,spriteNaming11,spriteNaming12,spriteNaming13
,14356721.xml,N/A,Sprite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,14427783.xml,N/A,Sprite(2),Sprite(3),Sprite(5),Sprite(4),Sprite,Sprite(8),Sprite(7),Sprite(6),Sprite(9),Sprite(11),Sprite(14),Sprite(16),Sprite(10)
